year,month,crime_month,major_category,total_crimes
2014,1,01/01/2014,Robbery,2165
2014,1,01/01/2014,Violence Against the Person,12741
2014,1,01/01/2014,Criminal Damage,4464
2014,1,01/01/2014,Drugs,4020
2014,1,01/01/2014,Other Notifiable Offences,930
2014,1,01/01/2014,Theft and Handling,23285
2014,1,01/01/2014,Burglary,7910
2014,2,01/02/2014,Robbery,1878
2014,2,01/02/2014,Burglary,6767
2014,2,01/02/2014,Violence Against the Person,12057
2014,2,01/02/2014,Other Notifiable Offences,925
2014,2,01/02/2014,Criminal Damage,4236
2014,2,01/02/2014,Drugs,3644
2014,2,01/02/2014,Theft and Handling,21715
2014,3,01/03/2014,Violence Against the Person,14396
2014,3,01/03/2014,Criminal Damage,4846
2014,3,01/03/2014,Drugs,4338
2014,3,01/03/2014,Robbery,1877
2014,3,01/03/2014,Theft and Handling,24404
2014,3,01/03/2014,Burglary,6720
2014,3,01/03/2014,Other Notifiable Offences,1088
2014,4,01/04/2014,Criminal Damage,4703
2014,4,01/04/2014,Drugs,3871
2014,4,01/04/2014,Burglary,5911
2014,4,01/04/2014,Robbery,1723
2014,4,01/04/2014,Other Notifiable Offences,1021
2014,4,01/04/2014,Theft and Handling,22665
2014,4,01/04/2014,Violence Against the Person,13573
2014,5,01/05/2014,Drugs,3928
2014,5,01/05/2014,Burglary,5832
2014,5,01/05/2014,Robbery,1814
2014,5,01/05/2014,Other Notifiable Offences,1105
2014,5,01/05/2014,Violence Against the Person,15346
2014,5,01/05/2014,Theft and Handling,23357
2014,5,01/05/2014,Criminal Damage,4945
2014,6,01/06/2014,Robbery,1842
2014,6,01/06/2014,Other Notifiable Offences,1011
2014,6,01/06/2014,Theft and Handling,23441
2014,6,01/06/2014,Drugs,3763
2014,6,01/06/2014,Violence Against the Person,16481
2014,6,01/06/2014,Burglary,5391
2014,6,01/06/2014,Criminal Damage,5110
2014,7,01/07/2014,Violence Against the Person,17432
2014,7,01/07/2014,Theft and Handling,23660
2014,7,01/07/2014,Criminal Damage,5164
2014,7,01/07/2014,Drugs,3663
2014,7,01/07/2014,Other Notifiable Offences,1257
2014,7,01/07/2014,Burglary,5701
2014,7,01/07/2014,Robbery,1687
2014,8,01/08/2014,Theft and Handling,22639
2014,8,01/08/2014,Drugs,3569
2014,8,01/08/2014,Violence Against the Person,15803
2014,8,01/08/2014,Burglary,5893
2014,8,01/08/2014,Criminal Damage,4925
2014,8,01/08/2014,Other Notifiable Offences,1068
2014,8,01/08/2014,Robbery,1744
2014,9,01/09/2014,Theft and Handling,23161
2014,9,01/09/2014,Robbery,1743
2014,9,01/09/2014,Burglary,5767
2014,9,01/09/2014,Violence Against the Person,16745
2014,9,01/09/2014,Criminal Damage,5095
2014,9,01/09/2014,Drugs,3177
2014,9,01/09/2014,Other Notifiable Offences,1245
2014,10,01/10/2014,Robbery,1941
2014,10,01/10/2014,Drugs,3671
2014,10,01/10/2014,Violence Against the Person,17297
2014,10,01/10/2014,Theft and Handling,24507
2014,10,01/10/2014,Criminal Damage,5491
2014,10,01/10/2014,Other Notifiable Offences,1147
2014,10,01/10/2014,Burglary,6483
2014,11,01/11/2014,Other Notifiable Offences,1166
2014,11,01/11/2014,Violence Against the Person,17093
2014,11,01/11/2014,Drugs,3674
2014,11,01/11/2014,Robbery,1888
2014,11,01/11/2014,Criminal Damage,5281
2014,11,01/11/2014,Burglary,6873
2014,11,01/11/2014,Theft and Handling,23729
2014,12,01/12/2014,Robbery,1848
2014,12,01/12/2014,Other Notifiable Offences,1074
2014,12,01/12/2014,Drugs,3117
2014,12,01/12/2014,Criminal Damage,5019
2014,12,01/12/2014,Theft and Handling,23317
