year,month,major_category,total_crimes
2014,1,Violence Against the Person,12741
2014,1,Theft and Handling,23285
2014,1,Robbery,2165
2014,1,Other Notifiable Offences,930
2014,1,Criminal Damage,4464
2014,1,Burglary,7910
2014,1,Drugs,4020
2014,2,Criminal Damage,4236
2014,2,Violence Against the Person,12057
2014,2,Burglary,6767
2014,2,Other Notifiable Offences,925
2014,2,Drugs,3644
2014,2,Robbery,1878
2014,2,Theft and Handling,21715
2014,3,Violence Against the Person,14396
2014,3,Robbery,1877
2014,3,Criminal Damage,4846
2014,3,Drugs,4338
2014,3,Other Notifiable Offences,1088
2014,3,Theft and Handling,24404
2014,3,Burglary,6720
2014,4,Violence Against the Person,13573
2014,4,Criminal Damage,4703
2014,4,Drugs,3871
2014,4,Theft and Handling,22665
2014,4,Robbery,1723
2014,4,Burglary,5911
2014,4,Other Notifiable Offences,1021
2014,5,Theft and Handling,23357
2014,5,Burglary,5832
2014,5,Criminal Damage,4945
2014,5,Drugs,3928
2014,5,Robbery,1814
2014,5,Violence Against the Person,15346
2014,5,Other Notifiable Offences,1105
2014,6,Violence Against the Person,16481
2014,6,Drugs,3763
2014,6,Criminal Damage,5110
2014,6,Other Notifiable Offences,1011
2014,6,Robbery,1842
2014,6,Burglary,5391
2014,6,Theft and Handling,23441
2014,7,Drugs,3663
2014,7,Violence Against the Person,17432
2014,7,Other Notifiable Offences,1257
2014,7,Robbery,1687
2014,7,Burglary,5701
2014,7,Criminal Damage,5164
2014,7,Theft and Handling,23660
2014,8,Other Notifiable Offences,1068
2014,8,Theft and Handling,22639
2014,8,Violence Against the Person,15803
2014,8,Robbery,1744
2014,8,Drugs,3569
2014,8,Burglary,5893
2014,8,Criminal Damage,4925
2014,9,Drugs,3177
2014,9,Other Notifiable Offences,1245
2014,9,Robbery,1743
2014,9,Criminal Damage,5095
2014,9,Burglary,5767
2014,9,Theft and Handling,23161
2014,9,Violence Against the Person,16745
2014,10,Robbery,1941
2014,10,Criminal Damage,5491
2014,10,Theft and Handling,24507
2014,10,Other Notifiable Offences,1147
2014,10,Violence Against the Person,17297
2014,10,Drugs,3671
2014,10,Burglary,6483
2014,11,Drugs,3674
2014,11,Other Notifiable Offences,1166
2014,11,Theft and Handling,23729
2014,11,Criminal Damage,5281
2014,11,Burglary,6873
2014,11,Robbery,1888
2014,11,Violence Against the Person,17093
2014,12,Drugs,3117
2014,12,Robbery,1848
2014,12,Criminal Damage,5019
2014,12,Theft and Handling,23317
2014,12,Violence Against the Person,16385
2014,12,Other Notifiable Offences,1074
2014,12,Burglary,6805
