date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
2014-01-01,2014,01,01,48.3,44.4,9999.9,5.9,15.1,22.0,35.9,52.0,42.1,0.21,999.9,0
2014-01-02,2014,01,02,48.2,43.0,9999.9,6.0,10.8,17.1,27.0,52.0,43.3,0.54,999.9,0
2014-01-03,2014,01,03,48.1,41.4,9999.9,5.6,15.7,27.0,36.9,51.8,42.6,0.1,999.9,0
2014-01-04,2014,01,04,45.6,41.7,9999.9,6.2,11.2,19.0,21.0,49.1,37.4,0.3,999.9,0
2014-01-05,2014,01,05,42.5,39.9,9999.9,6.8,9.6,19.0,999.9,54.3,33.3,0.39,999.9,0
2014-01-06,2014,01,06,52.3,46.3,9999.9,5.8,16.3,27.0,33.0,55.4,47.1,0.35,999.9,0
2014-01-07,2014,01,07,51.0,44.7,9999.9,6.4,13.8,21.0,29.9,53.6,46.4,0.4,999.9,0
2014-01-08,2014,01,08,49.1,45.0,9999.9,6.8,8.9,13.0,20.0,53.6,44.1,0.21,999.9,0
2014-01-09,2014,01,09,48.0,41.6,9999.9,6.0,13.3,22.0,32.1,53.6,40.8,0.14,999.9,0
2014-01-10,2014,01,10,43.5,39.9,9999.9,7.0,7.4,13.0,17.1,51.6,36.1,0.0,999.9,0
2014-01-11,2014,01,11,44.0,38.8,9999.9,6.2,6.6,13.0,999.9,48.6,32.0,0.07,999.9,0
2014-01-12,2014,01,12,38.6,36.8,9999.9,4.4,6.6,17.1,999.9,50.0,28.4,0.0,999.9,1
2014-01-13,2014,01,13,44.4,40.7,9999.9,6.5,8.9,18.1,999.9,49.5,41.0,0.09,999.9,0
2014-01-14,2014,01,14,40.1,35.7,9999.9,7.8,6.9,11.1,999.9,45.0,33.4,0.2,999.9,0
2014-01-15,2014,01,15,49.2,46.8,9999.9,5.9,9.4,14.0,999.9,52.3,41.2,0.18,999.9,0
2014-01-16,2014,01,16,47.2,43.5,9999.9,6.1,10.4,15.0,25.1,51.1,42.8,0.11,999.9,0
2014-01-17,2014,01,17,45.1,41.5,9999.9,7.0,10.1,15.9,25.1,48.6,41.0,0.43,999.9,0
2014-01-18,2014,01,18,47.4,43.0,9999.9,6.0,9.0,17.1,999.9,51.3,43.0,0.28,999.9,0
2014-01-19,2014,01,19,44.0,38.8,9999.9,6.9,6.9,9.9,999.9,48.2,35.6,0.03,999.9,0
2014-01-20,2014,01,20,40.7,37.1,9999.9,5.9,1.5,4.1,999.9,50.0,33.1,0.0,999.9,1
2014-01-21,2014,01,21,40.2,37.2,9999.9,3.6,5.5,14.0,999.9,47.7,33.8,0.01,999.9,1
