date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
2014-02-03,2014,02,03,43.2,37.6,9999.9,6.5,10.3,17.1,999.9,47.8,38.1,0.0,999.9,0
2014-09-18,2014,09,18,67.1,59.1,9999.9,2.8,6.5,9.9,19.0,78.8,58.5,0.0,999.9,0
2014-08-13,2014,08,13,61.6,51.7,9999.9,6.8,8.9,15.0,999.9,72.9,53.2,0.02,999.9,0
2014-12-31,2014,12,31,36.9,34.5,9999.9,4.9,6.3,12.0,20.0,46.0,24.6,0.01,999.9,1
2014-10-03,2014,10,03,60.6,54.8,9999.9,3.9,7.1,11.1,21.0,72.1,53.6,0.0,999.9,1
2014-04-10,2014,04,10,53.0,40.9,9999.9,6.8,5.3,9.9,999.9,61.9,43.9,0.0,999.9,0
2014-03-08,2014,03,08,51.5,40.6,9999.9,6.4,9.0,15.0,999.9,60.8,44.6,0.0,999.9,0
2014-04-03,2014,04,03,56.6,49.3,9999.9,3.5,6.3,14.0,999.9,64.9,51.8,0.0,999.9,0
2014-12-28,2014,12,28,36.1,29.8,9999.9,6.6,5.2,8.9,999.9,43.2,28.4,0.0,999.9,0
2014-03-12,2014,03,12,47.2,40.2,9999.9,4.7,3.8,6.0,999.9,61.3,35.6,0.0,999.9,0
2014-08-03,2014,08,03,64.4,49.9,9999.9,8.1,8.9,15.0,22.0,75.6,54.5,0.07,999.9,0
2014-02-13,2014,02,13,42.3,32.8,9999.9,7.8,13.0,22.9,26.0,47.5,38.8,0.32,999.9,0
2014-06-13,2014,06,13,69.5,51.7,9999.9,7.2,4.8,8.9,999.9,79.0,55.9,0.0,999.9,0
2014-08-24,2014,08,24,56.1,45.9,9999.9,6.9,5.8,9.9,19.0,66.2,44.6,0.02,999.9,0
2014-09-08,2014,09,08,60.9,49.1,9999.9,4.8,3.3,6.0,999.9,72.5,50.0,0.0,999.9,0
2014-04-04,2014,04,04,54.7,46.3,9999.9,4.8,8.8,13.0,999.9,59.2,46.4,0.0,999.9,0
2014-04-05,2014,04,05,52.2,47.8,9999.9,5.6,8.1,14.0,27.0,59.0,42.8,0.0,999.9,1
2014-12-29,2014,12,29,34.0,31.1,9999.9,4.9,4.5,7.0,999.9,42.8,25.7,0.0,999.9,0
2014-04-16,2014,04,16,50.3,34.1,9999.9,6.2,5.9,8.9,999.9,62.8,38.3,0.0,999.9,0
2014-08-20,2014,08,20,55.9,43.8,9999.9,7.5,5.9,11.1,999.9,66.2,46.4,0.01,999.9,0
2014-12-21,2014,12,21,47.7,42.6,9999.9,6.7,13.8,19.0,25.1,53.6,38.8,0.0,999.9,0
2014-11-18,2014,11,18,49.2,45.4,9999.9,5.5,4.7,7.0,999.9,55.8,44.6,0.07,999.9,0
2014-06-19,2014,06,19,61.9,53.6,9999.9,6.6,4.8,9.9,999.9,71.6,53.6,0.01,999.9,0
2014-04-27,2014,04,27,52.9,45.4,9999.9,6.9,9.2,13.0,999.9,59.0,47.7,0.03,999.9,0
2014-01-12,2014,01,12,38.6,36.8,9999.9,4.4,6.6,17.1,999.9,50.0,28.4,0.0,999.9,1
2014-12-18,2014,12,18,55.6,51.6,9999.9,6.7,16.1,20.0,32.1,57.2,52.7,0.01,999.9,0
2014-07-09,2014,07,09,63.9,51.5,9999.9,5.6,8.1,14.0,20.0,74.1,53.6,0.3,999.9,0
2014-03-06,2014,03,06,47.5,41.5,9999.9,6.1,9.1,17.1,22.9,56.3,41.0,0.01,999.9,0
2014-10-28,2014,10,28,58.2,53.2,9999.9,5.5,7.4,13.0,20.0,64.6,49.6,0.01,999.9,1
2014-09-05,2014,09,05,64.8,56.8,9999.9,5.1,3.1,6.0,999.9,69.3,60.8,0.0,999.9,0
2014-09-15,2014,09,15,61.6,53.7,9999.9,5.5,3.6,8.0,999.9,71.8,53.6,0.0,999.9,0
2014-12-10,2014,12,10,46.3,38.1,9999.9,6.8,13.8,22.0,999.9,53.6,42.6,0.06,999.9,0
2014-06-04,2014,06,04,53.8,47.8,9999.9,6.5,9.3,25.1,35.0,58.6,46.4,0.17,999.9,0
2014-10-19,2014,10,19,62.3,56.1,9999.9,6.3,12.7,18.1,25.1,69.3,57.2,0.07,999.9,0
2014-12-07,2014,12,07,44.1,39.0,9999.9,6.5,9.8,19.0,999.9,51.8,35.6,0.01,999.9,0
2014-02-21,2014,02,21,44.1,35.8,9999.9,6.9,11.9,21.0,29.9,51.6,37.4,0.06,999.9,0
2014-03-18,2014,03,18,50.7,41.9,9999.9,7.0,12.4,21.0,27.0,57.6,44.1,0.0,999.9,0
2014-03-26,2014,03,26,40.4,35.3,9999.9,5.1,5.1,14.0,999.9,49.1,35.6,0.18,999.9,1
2014-11-15,2014,11,15,49.5,46.9,9999.9,5.8,3.7,7.0,999.9,55.8,43.5,0.39,999.9,0
2014-01-23,2014,01,23,41.7,36.9,9999.9,6.0,8.2,14.0,24.1,48.2,36.0,0.01,999.9,0
2014-08-11,2014,08,11,60.8,51.7,9999.9,7.3,12.5,19.0,38.1,71.4,55.2,0.36,999.9,0
2014-05-10,2014,05,10,55.5,47.9,9999.9,6.2,15.6,25.1,35.9,64.6,51.1,0.11,999.9,0
2014-01-10,2014,01,10,43.5,39.9,9999.9,7.0,7.4,13.0,17.1,51.6,36.1,0.0,999.9,0
2014-02-20,2014,02,20,49.6,45.5,9999.9,5.8,11.5,18.1,22.9,56.3,42.8,0.0,999.9,0
2014-04-08,2014,04,08,49.5,37.9,9999.9,7.2,12.5,21.0,999.9,57.2,41.7,0.17,999.9,0
2014-12-04,2014,12,04,39.9,36.7,9999.9,4.3,4.4,12.0,999.9,43.3,37.4,0.02,999.9,0
2014-01-19,2014,01,19,44.0,38.8,9999.9,6.9,6.9,9.9,999.9,48.2,35.6,0.03,999.9,0
2014-11-12,2014,11,12,52.5,48.2,9999.9,6.6,8.1,13.0,999.9,56.5,50.0,0.03,999.9,0
2014-12-09,2014,12,09,40.8,37.2,9999.9,6.3,8.8,20.0,28.0,53.6,31.1,0.0,999.9,0
2014-10-07,2014,10,07,51.3,44.5,9999.9,6.0,9.7,21.0,999.9,59.9,45.9,0.35,999.9,0
2014-03-28,2014,03,28,47.0,37.7,9999.9,3.3,8.0,15.0,999.9,57.2,38.1,0.0,999.9,0
2014-02-05,2014,02,05,46.9,40.2,9999.9,6.1,18.7,24.1,35.9,50.2,41.9,0.44,999.9,0
2014-07-05,2014,07,05,64.4,58.2,9999.9,6.5,10.0,15.9,999.9,71.4,60.8,0.11,999.9,0
2014-10-10,2014,10,10,55.9,50.7,9999.9,6.8,7.7,14.0,22.9,65.5,48.2,0.12,999.9,0
2014-08-30,2014,08,30,62.8,53.1,9999.9,6.5,10.8,15.0,999.9,68.4,57.2,0.01,999.9,0
2014-08-17,2014,08,17,60.7,49.3,9999.9,7.0,13.0,18.1,28.9,70.7,53.6,0.0,999.9,0
2014-11-19,2014,11,19,48.4,45.3,9999.9,3.0,5.7,8.0,999.9,53.6,43.7,0.01,999.9,0
2014-06-24,2014,06,24,66.3,54.1,9999.9,5.6,5.5,12.0,20.0,77.0,56.7,0.0,999.9,1
2014-05-16,2014,05,16,61.4,47.4,9999.9,7.2,3.0,6.0,999.9,73.0,48.2,0.0,999.9,0
2014-05-19,2014,05,19,67.5,50.2,9999.9,4.5,8.5,15.0,999.9,79.3,55.4,0.0,999.9,0
2014-04-24,2014,04,24,56.1,47.4,9999.9,6.1,3.9,8.0,999.9,63.1,50.0,0.09,999.9,0
2014-07-17,2014,07,17,73.1,59.1,9999.9,6.2,5.7,12.0,999.9,84.4,63.1,0.0,999.9,0
2014-02-09,2014,02,09,44.2,34.2,9999.9,6.6,16.7,25.1,35.9,48.2,39.9,0.09,999.9,0
2014-08-09,2014,08,09,64.7,53.7,9999.9,6.2,10.4,15.0,999.9,74.7,55.4,0.87,999.9,0
2014-08-25,2014,08,25,59.8,56.7,9999.9,5.7,5.8,8.9,999.9,63.3,55.2,0.01,999.9,0
2014-05-28,2014,05,28,54.5,51.3,9999.9,5.4,5.4,8.9,999.9,59.0,48.7,0.39,999.9,0
2014-06-16,2014,06,16,59.4,49.2,9999.9,6.7,6.7,11.1,999.9,64.4,55.0,0.0,999.9,0
2014-09-20,2014,09,20,63.0,59.5,9999.9,3.9,4.5,8.0,999.9,66.7,59.0,0.0,999.9,0
2014-11-10,2014,11,10,49.9,45.7,9999.9,6.4,7.8,14.0,999.9,55.9,42.8,0.0,999.9,0
2014-02-23,2014,02,23,51.0,43.6,9999.9,6.8,14.4,20.0,32.1,54.5,45.5,0.0,999.9,0
2014-12-02,2014,12,02,44.9,39.7,9999.9,5.0,8.0,15.0,999.9,46.6,42.8,0.0,999.9,0
